date;file_name;rows_num;columns_num
2019-04-10 17:05:55.736198;GPL_SSBV 08.html;32352;31
2019-04-10 17:10:13.885106;GPL_SSBV 09.html;32736;31
2019-04-10 17:11:46.157868;NURSERYCC 01.html;9312;31
2019-04-10 17:12:42.696075;NURSERYCC 02.html;9312;31
2019-04-10 17:13:44.293501;NURSERYCC 03.html;9312;31
2019-04-10 17:14:58.806238;NURSERYCC 04.html;9120;31
2019-04-10 17:16:32.197042;NURSERYCC 05.html;9120;31
2019-04-10 17:17:55.735072;NURSERYCC 06.html;9216;31
2019-04-10 17:18:54.572451;NURSERYCC 07.html;9024;31
2019-04-10 17:19:50.201762;NURSERYCC 08.html;9216;31
2019-04-10 17:21:26.721522;NURSERYCC 09.html;9216;31
2019-04-10 17:23:09.313035;PILOTOSSAV 01.html;10464;31
2019-04-10 17:24:12.034623;PILOTOSSAV 02.html;10464;31
2019-04-10 17:25:41.451534;PILOTOSSAV 03.html;10464;31
2019-04-10 17:26:55.258601;PILOTOSSAV 04.html;10464;31
2019-04-10 17:28:14.305777;PILOTOSSAV 05.html;10464;31
2019-04-10 17:29:29.941181;PILOTOSSAV 06.html;10464;31
2019-04-10 17:31:13.925589;PILOTOSSAV 07.html;10246;31
2019-04-10 17:32:36.818936;PILOTOSSAV 08.html;10464;31
2019-04-10 17:34:03.192490;PILOTOSSAV 09.html;10464;31
2019-04-10 17:34:44.397564;SSAV 01.html;2496;31
2019-04-10 17:35:09.848533;SSAV 02.html;2496;31
2019-04-10 17:35:34.618583;SSAV 03.html;2496;31
2019-04-10 17:35:55.816716;SSAV 04.html;2496;31
2019-04-10 17:36:15.779465;SSAV 05.html;2496;31
2019-04-10 17:36:33.082742;SSAV 06.html;2496;31
2019-04-10 17:36:55.517121;SSAV 07.html;2444;31
2019-04-10 17:37:15.350451;SSAV 08.html;2496;31
2019-04-10 17:37:32.654711;SSAV 09.html;2496;31
2019-04-10 17:39:35.731557;SUSCRIPCION_BV 01.html;26976;31
2019-04-10 17:42:51.595747;SUSCRIPCION_BV 02.html;26976;31
2019-04-10 17:45:37.895753;SUSCRIPCION_BV 03.html;26976;31
2019-04-10 17:49:17.048481;SUSCRIPCION_BV 04.html;26976;31
2019-04-10 17:54:09.826920;SUSCRIPCION_BV 05.html;26976;31
2019-04-10 17:56:52.823095;SUSCRIPCION_BV 06.html;26976;31
2019-04-10 17:59:27.864473;SUSCRIPCION_BV 07.html;26414;31
2019-04-10 19:53:06.618870;SUSCRIPCION_BV 08.html;26976;31
2019-04-10 19:55:59.090066;SUSCRIPCION_BV 09.html;26976;31
2019-04-10 19:57:33.328194;TR_VENTA 01.html;7296;31
2019-04-10 19:58:18.540188;TR_VENTA 02.html;7296;31
2019-04-10 19:59:04.122930;TR_VENTA 03.html;7296;31
2019-04-10 19:59:47.485171;TR_VENTA 04.html;7296;31
2019-04-10 20:00:31.878733;TR_VENTA 05.html;7296;31
2019-04-10 20:01:16.072625;TR_VENTA 06.html;7296;31
2019-04-10 20:02:00.288909;TR_VENTA 07.html;7144;31
2019-04-10 20:02:42.666129;TR_VENTA 08.html;7296;31
2019-04-10 20:03:43.514395;TR_VENTA 09.html;7296;31
2019-04-10 20:04:18.156143;WEBFCHOGAR 01.html;3168;31
2019-04-10 20:04:52.350189;WEBFCHOGAR 02.html;3168;31
2019-04-10 20:05:22.992817;WEBFCHOGAR 03.html;3168;31
2019-04-10 20:05:58.711774;WEBFCHOGAR 04.html;3168;31
2019-04-10 20:06:29.623580;WEBFCHOGAR 05.html;3168;31
2019-04-10 20:06:56.475199;WEBFCHOGAR 06.html;3168;31
2019-04-10 20:07:24.147488;WEBFCHOGAR 07.html;3102;31
2019-04-10 20:07:47.592273;WEBFCHOGAR 08.html;3168;31
2019-04-10 20:08:21.743060;WEBFCHOGAR 09.html;3168;31
2019-04-11 06:29:46.649301;CCBV_RELLAMADOR 10.html;12384;31
2019-04-11 06:31:47.201714;FONOCOMPRAMOVILï¿½10.html;96;31
